plant,generation,anthocyanin_abosrbance,carotenoid_absorbance,tube_width,corolla_length,corolla_width,corolla_height,calyx_length,petal_extension,pedicel_length,stigma_exsertion,tallest_anther,shortest_anther,stigna_anther_distance
46,F2,0.153333333,,12.04,29.38,24.29333333,28.14666667,23.19666667,7.426666667,18.58333333,6.193333333,30.38,26.61333333,3.766666667
47,F2,0.00595,0.19705,16.68,37.855,25.68,34.845,21.515,12.45,10.535,1.88,35.965,31.805,4.16
48,F2,0.004,0.31655,15.005,34.235,25.37,34.46,19.85,7.88,17.895,4.75,33.505,29.91,3.595
49,F2,0.117,0.47,13.35,32.375,22.82,26.565,19.455,6.54,15.565,4.315,31.87,28.905,2.965
50,F2,0.209,0.2108,15.4,34.085,24.05,28.02,20.6,9.95,8.85,3.71,30.745,27.415,3.33
52,F2,0.0985,0.1142,15.215,35.33,28.335,33.265,22.85,8.525,10.51,3.3,33.18,29.835,3.345
53,F2,0.018333333,0.09935,15.95,36.06333333,27.16666667,27.84,23.19666667,11.43333333,12.79,2.796666667,33.87,29.58666667,4.283333333
54,F2,0.167,0.1295,14.275,38.085,23.925,30.425,22.18,10.715,11.515,1.575,33.16,28.925,4.235
55,F2,0.113,0.4568,16.895,40.155,27.435,33.695,21.64,11.855,13.43,0.865,38.275,32.82,5.455
56,F2,0.13,0.38,15.10666667,36.65333333,26.23,33.28,21.75,8.466666667,19.55333333,2.81,36.60333333,31.61333333,4.99
57,F2,,0.2715,16.595,40.36,27.38,31.975,21.385,9.525,10.105,3.5,40.39,33.36,7.03
58,F2,0.057,0.41815,14.87,32.38,26.335,32.605,20.795,8.54,9.02,7.07,30.835,27.455,3.38
59,F2,0.11,0.2962,16.515,37.475,29.035,33.135,22.55,10.235,9.69,1.915,34.405,30.095,4.31
61,F2,0.15,0.3657,13.735,33.66,25.535,31.78,22.885,11.14,15.82,5.745,31.7,27.675,4.025
62,F2,0.004666667,0.2128,15.29666667,34.35,25.81666667,31.12666667,21.69666667,9.716666667,13.71666667,4.316666667,31.55666667,27.47333333,4.083333333
63,F2,0.5505,0.2013,13.38,31.795,22.955,28.305,19.665,7.335,12.535,5.96,30.68,26.49,4.19
64,F2,0.185,0.3549,14.245,34.99,25.435,33.715,21.23,7.475,14.7,4.485,33,29.745,3.255
65,F2,0.007,0.2002,12.765,31.685,24.98,31.085,22.19,9.065,20.265,5.45,30.3,26.825,3.475
66,F2,0.022,0.22575,13.49333333,34.07666667,23.93,28.24333333,21.85,10.80333333,21.72,5.96,34.08666667,29.96666667,4.12
69,F2,0.3485,0.21275,13.445,34.935,26.185,27.405,22.12,9.97,10.725,4.11,32.25,28.76,3.49
70,F2,,0.2129,16.42,37.275,27.39,34.135,20.975,12.235,27.15,5.115,37.175,32.82,4.355
71,F2,0.2865,0.33975,14.655,35.13,28.12,34.12,21.65,6.145,13.7,3.885,34.315,30.425,3.89
72,F2,-0.0035,0.28115,17.415,38.63,28.54,38.18,19.36,12.965,17.555,4.1,36.205,31.69,4.515
73,F2,0.168,0.27835,15.13,38.64,25.38,31.2,23.095,11.04,24.22,3.52,35.96,31.71,4.25
74,F2,0.5795,0.2778,13.89,36.16333333,23.07,26.49333333,21.03666667,8.26,15.19666667,4.943333333,34.66,30.49333333,4.166666667
75,F2,0.609,0.2851,16.55,41.72,29.33,33.8,26.325,10.99,12.93,1.49,38.115,32.82,5.295
76,F2,0.7205,0.36495,13.61,36.03,23.21666667,27.26666667,22.3,7.695,18.49,4.526666667,34.27666667,30.4,3.876666667
79,F2,0.0585,0.4718,16.03,37.77,28.24,33.82,21.375,9.405,11.705,4.815,35.685,31.38,4.305
80,F2,0.3675,0.3168,14.48666667,36.76666667,24.83666667,26.68666667,21.21,7.933333333,14.33,1.326666667,34.04333333,29.94666667,4.096666667
81,F2,0.0315,0.09435,14.125,37.445,25.58,31.61,19.8,10.21,19.3,4.67,35.905,32.47,3.435
82,F2,0.2105,,15.755,37.76,31.32,38.85,17.41,8.47,14.29,1.31,34.705,30.95,3.755
83,F2,0.597,,13.59,36.76333333,23.83666667,29.12,22.45333333,9.19,17.65,5.216666667,35.47333333,31.17,4.303333333
84,F2,0.0555,0.3635,15.03,36.235,27.875,35.89,21.8,9.065,16.26,2.59,33.425,29.64,3.785
86,F2,0.198,0.23305,14.39,34.11,25.895,32.86,21.225,11.88,15.51,1.65,32.07,28.73,3.34
